genus_species,AUTHOR,order,suborder,family,year,Rege.Date.Source,Intentional_Release,Host_Group,origin,origin2,PHAGY,Source,Synonym,TSN,Canada.or.US,Confirmed.Establishment,Comment,eradicated
Dolichopus festinans,Zetterstedt,Diptera,"NA",Dolichopodidae,1899,"Ashmead, William H., Coquillett, D. W., Kincaid, Trevor, and Pergande, Theo. 1910. Harriman Alaska Expedition Series, Alaska Volume IX, Insects Part II; City of Washington; Published by The Smithsonian Institution.","NA","NA",Palearctic(Europe),"NA","NA","Ashmead, William H., Coquillett, D. W., Kincaid, Trevor, and Pergande, Theo. 1910. Harriman Alaska Expedition Series, Alaska Volume IX, Insects Part II; City of Washington; Published by The Smithsonian Institution.","NA","NA","NA","NA","NA",NA
Dolichopus plumitarsis,Fallen,Diptera,"NA",Dolichopodidae,1899,"Ashmead, William H., Coquillett, D. W., Kincaid, Trevor, and Pergande, Theo. 1910. Harriman Alaska Expedition Series, Alaska Volume IX, Insects Part II; City of Washington; Published by The Smithsonian Institution.","NA","NA",Palearctic(Europe),"NA","NA","Ashmead, William H., Coquillett, D. W., Kincaid, Trevor, and Pergande, Theo. 1910. Harriman Alaska Expedition Series, Alaska Volume IX, Insects Part II; City of Washington; Published by The Smithsonian Institution.","NA","NA","NA","NA","NA",NA
Doratura stylata,(Boheman),Hemiptera,Auchenorrhyncha,Cicadellidae,1923,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Dorcadothrips xanthius,(Williams),Thysanoptera,"NA",Thripidae,"NA","NA","NA",forest trees: ornamental plants and flowers,Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Doryctobracon cereus,(Gahan),Hymenoptera,"NA",Braconidae,1919,"Krombein, Karl V. et.al. 1979. Catalog of Hymenoptera in America North of Mexico. Vol 1.  Smithsonian Institution Press.; Gahan, 1919. Ent. Soc. Wash., Proc. 21: 169.","NA","NA",Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Dorypteryx domestica,(Smithers),Psocoptera,"NA",Psyllipsocidae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Dorypteryx pallida,Aaron,Psocoptera,"NA",Psyllipsocidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Drepanosiphum oregonensis,Granovsky,Hemiptera,"NA",Aphididae,1914,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA",BugGuide,"NA","NA",US,Y,"NA",NA
Drepanosiphum platanoidis,Schrank,Hemiptera,"NA",Aphididae,1908,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA",Aukema,"NA","NA",US,Y,"NA",NA
Drepanothrips reuteri,Uzel,Thysanoptera,"NA",Thripidae,1926,"NA","NA",forest trees: ornamental plants and flowers,Palearctic(Europe)  Neotropic  Palearctic(Asia),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Drosophila melanogaster,Meigen,Diptera,"NA",Drosophilidae,"NA","NA","NA","NA",Afrotropic,"NA","NA",Keller (2007) Drosophila melanogaster's history as a human commensal. Current Biology 17: R77ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“R81,"NA","NA","NA","NA","NA",NA
Drosophila suzukii,(Matsumura),Diptera,"NA",Drosophilidae,2008,"NA","NA","NA",Palearctic(Asia),"NA","NA",J. Econ. Entomol. 105(4): 1350ÃƒÆ’Ã‚Â1357 (2012),"NA","NA","NA","NA","NA",NA
Drosophila virilis americana,Spencer,Diptera,"NA",Drosophilidae,1913,"Patterson, J.T. 1941. The Virilis Group of Drosophila in Texas; The American Naturalist 75(761): 523-539.","NA","NA",Cosmopolitan,"NA","NA","Patterson, J.T. 1941. The Virilis Group of Drosophila in Texas; The American Naturalist 75(761): 523-539.",Drosophila virilis virilis,"NA","NA","NA","NA",NA
Drusilla canaliculata,(Fabricius),Coleoptera,"NA",Staphylinidae,1906,"Majka, Christopher G. and Jan Klimaszewski. 2008. Introduced Staphylinidae (Coleoptera) in the maritime provinces of Canada. Can. Entomol. 140: 48-72.;  Gusarov, V.I. 2003. Revision of some types of North American aleocharines (Coleoptera: Staphylinidae, Aleocharinae), with synonymic notes. Zootaxa, 353: 1-134.","NA",parasite of elm leaf beetle: Xanthogaleruca luteola,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Drymus brunneus,"NA",Hemiptera,Prosorrhyncha,Lygaeidae,1966,"Scudder, G.G.E.; Humble, L.M. and T. Loh. 2011. Drymus brunneus (Sahlberg) (Hemiptera: Rhyparochromidae): a seed bug introduced into North America; J. Entomol. Soc. Brit. Columbia 108: 29-33.","NA","NA",Palearctic(Europe),"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Dryocoetoides capucinus,"NA",Coleoptera,"NA",Curculionidae,2011,"NA","NA","NA","NA","NA","NA",Sandy,"NA","NA","NA","NA","NA",NA
Dryocosmus kuriphilus,Yasumatsu,Hymenoptera,"NA",Cynipidae,1974,"NA","NA","NA",Palearctic(Asia),"NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Dryops viennensis,(Heer),Coleoptera,"NA",Dryopidae,1750,"NA","NA",rush-feeding: Neararctic hosts include Juncus effusus and J. balticus,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Dryoxylon onoharaensum,(Murayama),Coleoptera,"NA",Curculionidae,1977,"NA","NA",predator of Coleopterous & Lepidopterous larvae,"NA","NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Duforiellus ater,(Dufour),Hemiptera,Prosorrhyncha,Anthocoridae,1909,"NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Duplachionaspis divergens,(Green),Hemiptera,Sternorrhyncha,Diaspididae,2001,"NA","NA","NA","NA","NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Duponchelia fovealis,Zeller,Lepidoptera,"NA",Pyralidae,2004,"NA","NA",forage crops and grasses: ornamental plants and flowers: fruit trees: food crops and vegetables,Palearctic(Europe),"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Dynaspidiotus britannicus,(Newstead),Hemiptera,Sternorrhyncha,Diaspididae,1898,"NA","NA","NA",Palearctic(Asia)  Palearctic(Europe),"NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Dynastes titynus,Linnaeus,Coleoptera,"NA",Scarabaeidae,1894,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Dypterygia punctirena,(Walker),Lepidoptera,"NA",Noctuidae,1985,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Dysaphis apiifolia,Theobald,Hemiptera,"NA",Aphididae,1934,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic,"NA","NA","Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA",200607,US,Y,"NA",NA
Dysaphis crataegi,(Kaltenbach),Hemiptera,"NA",Aphididae,1915,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA","Langor DW DeHaas LJ Foottit RG (2009) Diversity of non-native terrestrial arthropods on woody plants in Canada. Ecological Impacts of Non-Native Invertebrates and Fungi on Terrestrial Ecosystems. Springer Netherlands, 2009. 5-19.
http://www.simplykitchengarden.com/vegetablepests/130.html","NA","NA",US,Y,"NA",NA
Dysaphis devecta,(Walker),Hemiptera,"NA",Aphididae,1966,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA","Langor DW DeHaas LJ Foottit RG (2009) Diversity of non-native terrestrial arthropods on woody plants in Canada. Ecological Impacts of Non-Native Invertebrates and Fungi on Terrestrial Ecosystems. Springer Netherlands, 2009. 5-19.
http://www.aphidsonworldsplants.info/d_APHIDS_D.htm","NA","NA",Canada,Y,"NA",NA
Dysaphis foeniculus,Theobald,Hemiptera,"NA",Aphididae,1949,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA","Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",US,Y,"NA",NA
Dysaphis plantaginea,Passerini,Hemiptera,"NA",Aphididae,1890,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA",Aukema,"NA","NA",US,Y,"NA",NA
Dysaphis pyri,Boyer de Fonscolombe,Hemiptera,"NA",Aphididae,1978,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA","Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",US,Y,"NA",NA
Dysaphis radicola,Mordvilko,Hemiptera,"NA",Aphididae,1894,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA","Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",US,Y,"NA",NA
Dysaphis tulipae,Boyer de Fonscolombe,Hemiptera,"NA",Aphididae,1903,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA","Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA",200608,US,Y,"NA",NA
Dysmicoccus boninsis,(Kuwana),Hemiptera,Sternorrhyncha,Pseudococcidae,1895,"NA","NA","NA",Oceania,"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Dysmicoccus brevipes,(Cockerell),Hemiptera,Sternorrhyncha,Pseudococcidae,1880,"NA","NA","NA",Neotropic,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Dysmicoccus grassii,(Leonardi),Hemiptera,Sternorrhyncha,Pseudococcidae,1966,"NA","NA",cattle dung & horn fly,Neotropic,"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Dysmicoccus neobrevipes,Beardsley,Hemiptera,Sternorrhyncha,Pseudococcidae,1978,"NA","NA","NA",Oceania,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Dysmicoccus wistariae,(Green),Hemiptera,Sternorrhyncha,Pseudococcidae,1915,"NA","NA","NA",Palearctic(Asia),"NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Eburia cinereopilosa,Fisher,Coleoptera,"NA",Cerambycidae,1975,"NA",N,"NA",Neotropic,"NA","Xylophagous, tropical hardwoods","Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28
http://www.freshfromflorida.com/pi/enpp/ento/entcirc/ent396.pdf; http://en.wikipedia.org/wiki/Eburia_cinereopilosa","NA","NA","NA","NA","NA",NA
Echidnophaga gallinacea,(Westwood),Siphonaptera,"NA",Pulicidae,"NA","NA","NA","NA",Indomalaya,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Eclytus ornatus,Holmgren,Hymenoptera,"NA",Ichneumonidae,1934,"NA","NA",Rhyacionoa buoliana,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Ectatomma tuberculatum,(Olivier),Hymenoptera,"NA",Formicidae,1904,"Krombein, Karl V. et.al. 1979. Catalog of Hymenoptera in America North of Mexico. Vol 2.  Smithsonian Institution Press. Pg. 1336.",I,"NA",Neotropic,"NA",Predator,"http://academic.evergreen.edu/projects/ants/genera/Ectatomma/species/tuberculatum/tuberculatum.html
Ag Handbook 480 pg. 260","NA","NA","NA","NA","NA",NA
Ectemnius cephalotes,(Olivier),Hymenoptera,"NA",Sphecidae,"NA","NA","NA",forest trees:,Palearctic(Asia)  Palearctic(Europe),"NA","NA",http://www.bwars.com/index.php?q=wasp/crabronidae/crabroninae/ectemnius-cephalotes,"NA","NA","NA","NA","NA",NA
Ectobius lapponicus,Linnaeus,Blattodea,"NA",Ectobiidae,1984,"Chandler D.S. (1985) A new introduction of a European cockroach, Ectobius lapponicus (Dictyoptera: Blatellidae). Ent. News 96: 98-100","NA","NA",Palearctic(Europe),"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Ectobius pallidus,"NA",Blattodea,"NA",Ectobiidae,1951,Smithsonian miscellaneous collections. Vol. 141 (1961) pg. 47.,"NA",stored products: textile fiberfurskindrug and biological dried-specimens: food crops and vegetables,Palearctic(Europe),"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Ectobius sylvestris,Poda,Blattodea,"NA",Ectobiidae,1980,"Hoebeke, E. Richard, and A.G. Wheeler, Jr. 1983. Exotic insects reported new to northeastern United States and eastern Canada since 1970. Journal of the New York Entomological Society 91(3): 193-222.; Hoebeke, E.R. and D.A. Nickle. 1981. The forest cockroach, Ectobius sylvestris (Poda), a European species newly discovered in North America (Dictyoptera: Blattoidea: Ectobiidae). Proc. Entomol. Soc. Washington 83: 592-595.","NA","NA",Palearctic(Asia),Palearrctic(Europe),"NA",Hoebeke and Wheeler (1983) Exotic insects reported new to northeastern United States and eastern Canada since 1970. New York Entomological Society 91 193-222,"NA","NA","NA","NA","NA",NA
Ectomyelois ceratoniae,(Zeller),Lepidoptera,"NA",Pyralidae,"NA","NA","NA",ornamental plants and flowers,Afrotropic,"NA","NA","NANIAD
http://www.faculty.ucr.edu/~legneref/biotact/ch-121.htm","NA","NA","NA","NA","NA",NA
Ectopsocopsis cryptomeriae,(Enderlein),Psocoptera,"NA",Peripsocidae,"NA","NA","NA","NA",Japan Palearctic(Europe) Palearctic(Asia),"NA","NA",Nishida (2002),"NA","NA","NA","NA","NA",NA
Ectopsocus petersi,Banks,Psocoptera,"NA",Peripsocidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Ectopsocus pumilis,(Banks),Psocoptera,"NA",Peripsocidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Ectopsocus salpinx,"NA",Psocoptera,"NA",Peripsocidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Ectopsocus strauchi,Enderlein,Psocoptera,"NA",Peripsocidae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Ectopsocus vachoni,Badonnel,Psocoptera,"NA",Peripsocidae,"NA","NA","NA","NA",Afrotropic Indomalaya,"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Edaphus beszedesi,Reitter(1914),Coleoptera,"NA",Staphylinidae,1974,"Herman, Lee H. Catalog of the Staphylinidae (Insecta: Coleoptera). 1758 to the end of the second millenium.. Part IV; AMNH Bulletin No. 265, 2001. pg. 1817.; Puthz, V., 1974. A new revision of the Nearctic Edaphus-species and remarks on other North American Euaesthetinae (Coleoptera, Staphylinidae). Revue suisse de Zoologie 81(4): 911ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“932. pg. 913, 923.
","NA","NA","NA","NA","NA","Herman, Lee H. Catalog of the Staphylinidae (Insecta: Coleoptera). 1758 to the end of the second millenium.. Part IV; AMNH Bulletin No. 265, 2001. pg. 1817.; Puthz, V., 1974. A new revision of the Nearctic Edaphus-species and remarks on other North American Euaesthetinae (Coleoptera, Staphylinidae). Revue suisse de Zoologie 81(4): 911ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“932. pg. 913, 923.
","NA","NA","NA","NA","NA",NA
Edovum puttleri,Grissell,Hymenoptera,"NA",Eulophidae,1985,"NA",I,target host: Pectinophora gossypiella: pink bollworm; Amyelois transitella: navel orangeworm,Neotropic,"NA",Parasite,"Corrigan et al (1991) Oviposition behavior of Edovum puttleri reared on two hosts Leptinotarsa decemlineata and L. texana. Entomol. exp. appl. 61: 139-147
ROBO 1981, Pub. 1464, pg. 75","NA","NA","NA","NA","NA",NA
Eiphosoma atrovittatum,Cresson,Hymenoptera,"NA",Ichneumonidae,1945,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Eiphosoma nigrovittatum,Cresson,Hymenoptera,"NA",Ichneumonidae,1956,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Elachertus argissa,"NA",Hymenoptera,"NA",Eulophidae,"NA","Schauff, Michael E. 1985, Taxonomic study of the nearctic species of Elachertus spinola (Hymenoptera: Eulophidae); Proceedings of the Entomological Society of Washington, 1985; 87(4): 843-858.","NA",diamondback moth: Plutella xylostella,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Elaeidobius kamerunicus,Faust,Coleoptera,"NA",Curculionidae,1986,"NA","NA","NA",Afrotropic,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Elaeidobius subvittatus,(Faust),Coleoptera,"NA",Curculionidae,1985,"NA","NA","NA",Afrotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Elaphria deltoides,(Moschler),Lepidoptera,"NA",Noctuidae,1983,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Elatobium abietinum,(Walker),Hemiptera,"NA",Aphididae,1900,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA",US,Y,"NA",NA
Electrostrymon angelia,(Hewitson),Lepidoptera,"NA",Lycaenidae,1973,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Elipsocus moebiusi,"NA",Psocoptera,"NA",Elipsocidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Elipsocus pumilis,"NA",Psocoptera,"NA",Elipsocidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Elleschus bipunctatus,(Linnaeus),Coleoptera,"NA",Curculionidae,1916,"NA","NA",food crops and vegetables: fruit trees,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Elleschus scanicus,(Paykull),Coleoptera,"NA",Curculionidae,1890,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Elousa albicans,Walker,Lepidoptera,"NA",Noctuidae,1984,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Elymana sulphurella,(Zetterstedt),Hemiptera,Prosorrhyncha,Cicadellidae,1935,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Embidopsocus femoralis,(Badonnel),Psocoptera,"NA",Liposcelidae,1983,"NA","NA","NA",Afrotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Embidopsocus thormtoni,"NA",Psocoptera,"NA",Liposcelidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Emmesomyia socia,Fallen,Diptera,"NA",Anthomyiidae,1970,"Hoebeke, E. Richard, and A.G. Wheeler, Jr. 1983. Exotic insects reported new to northeastern United States and eastern Canada since 1970. Journal of the New York Entomological Society 91(3): 193-222.; Anonymous. 1971. U.S. Dept. Agric., Coop. Econ. Ins. Rep. 21(1): 5.","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",Hoebeke and Wheeler (1983) Exotic insects reported new to northeastern United States and eastern Canada since 1970. New York Entomological Society 91 193-222,Emmesomyia villica,"NA","NA","NA","NA",NA
Empoasca luda,DavidsonandDeLong,Hemiptera,Auchenorrhyncha,Cicadellidae,1917,"NA","NA",food crops and vegetables: fruit trees,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Empoasca populi,Edwards,Hemiptera,Auchenorrhyncha,Cicadellidae,1969,"NA","NA",Herbs: forbes: grasses,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Empoasca smaragdula,(Fallen),Hemiptera,Auchenorrhyncha,Cicadellidae,1976,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Empogonius annulicornis,Fisher,Coleoptera,"NA",Cerambycidae,1975,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Empyreuma affinis,Rothschild,Lepidoptera,"NA",Arctiidae,1978,"NA","NA","NA",Palearctic(Asia),"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Enarmonia formosana,Scopoli,Lepidoptera,"NA",Tortricidae,2000,"NA","NA",Other,"NA","NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Encarsia brasiliensis,(Hampel),Hymenoptera,"NA",Aphelinidae,1953,"NA","NA","NA",Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Encarsia citrina,(Crawford),Hymenoptera,"NA",Aphelinidae,1949,"NA",I,"NA",Palearctic(Asia),"NA",Parasite,"Flanders (1950) Races of apomictic parasitic Hymenoptera Introduced into California. J. Econ Entomol 43: 719-720 
http://www.entocare.nl/english/products_armoured_scales.htm; http://journals.fcla.edu/flaent/article/view/76707/74288","NA","NA","NA","NA","NA",NA
Encarsia fasciata,(Malenotti),Hymenoptera,"NA",Aphelinidae,"NA","NA","NA","NA",Australasia,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Encarsia haitiensis,Dozier,Hymenoptera,"NA",Aphelinidae,"NA","NA",I,"NA",Neotropic,"NA",Parasite,"ROBO 1981, Pub. 1464, pg. 77","NA","NA","NA","NA","NA",NA
Encarsia inaron,(Walker),Hymenoptera,"NA",Aphelinidae,1989,"NA","NA","NA",Palearctic(Asia)  Palearctic(Europe),"NA","NA",http://www.biocontrol.entomology.cornell.edu/parasitoids/encarsiainaron.html,Encarsia partenopea,"NA","NA","NA","NA",NA
Encarsia lahorensis,(Howard),Hymenoptera,"NA",Aphelinidae,1966,"NA","NA",Feed on spiders: mites: molluscs: plant material: honeydew: and nectar.,Indomalaya,"NA","NA",Morse et al (1996) Citrus Pest Problems and Their Control in the Near East. Plant Production & Protection Papers,"NA","NA","NA","NA","NA",NA
Encarsia opulenta,(Silvestri),Hymenoptera,"NA",Aphelinidae,1971,"NA",I,"NA",Neotropic,"NA",Parasite,"ROBO 1981, Pub. 1464, pg. 79","NA","NA","NA","NA","NA",NA
Encarsia pergandiella,(Howard),Hymenoptera,"NA",Aphelinidae,1894,"Howard, L.O. 1907. New genera and species of Aphelininae, with a revised table of Genera.; USDA Bureau of Entomology, Technical Series No. 12, Part IV, Miscellaneous Papers; page 78.","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Encarsia perniciosi,(Tower),Hymenoptera,"NA",Aphelinidae,1949,"NA",I,"NA",Palearctic(Asia),"NA","NA",Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.,Prospaltella perniciosi,"NA","NA","NA","NA",NA
Encarsia sankarani,Hayat,Hymenoptera,"NA",Aphelinidae,1976,"Frank, J. Howard and Earl D. McCoy, 1993. The Introduction of insects to Florida, Florida Entomologist 76(1): 1-53.","NA","NA",Indomalaya,"NA","NA","Frank, J. Howard and Earl D. McCoy, 1993. The Introduction of insects to Florida, Florida Entomologist 76(1): 1-53.","NA","NA","NA","NA","NA",NA
Encarsia smithi,(Silvestri),Hymenoptera,"NA",Aphelinidae,1979,"NA","NA","NA",Palearctic(Asia)  Indomalaya,"NA","NA",Frank and McCoy (1993) Introduction to the Behavioral Ecology of Introduction. The Introduction of Insects into Florida. The Florida Entomologist 76 1-53.,"NA","NA","NA","NA","NA",NA
Encyrtus dalmani,(Westwood),Hymenoptera,"NA",Encyrtidae,1936,"NA",I,"NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",NANIAD,Habrolepis dalmanni,"NA","NA","NA","NA",NA
Encyrtus infelix,(Embleton),Hymenoptera,"NA",Encyrtidae,1921,"NA",I,Trichoplusia ni: cabbage looper; Pseudoplusia includens: soybean looper,Oceania Palearctic(Europe),"NA",Parasite,"Clausen (1978) Introduced parasites and predators of arthropod pests and weeds: a world review. Agriculture Handbook United States Department of Agricultre (480). pg.73
Ag Handbook 480 pg. 68; http://www.bcpcertis.com/Certis.bcp/English/Home/Our+Solutions/Biological+Controls/Scale+insect+control/page.aspx/988","NA","NA","NA","NA","NA",NA
Encyrtus infidus,(Rossi),Hymenoptera,"NA",Encyrtidae,"NA","NA",I,"NA",Palearctic(Asia),"NA","NA",Clausen (1932) The biology of Encyrtus infidus Rossi a parasite of Lecanium kunoensis Kuw.(Hymen.) Ann. Entomol. Soc. Am. 25: 670-687,"NA","NA","NA","NA","NA",NA
